,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1358196274265169920,1358196274265169920,1612654200000.0,2021-02-07 05:00:00,+0530,,75 पूर्व नौकरशाहों ने कहा- किसानों के प्रति सरकार का रवैया प्रतिकूल और टकराव भरा  #FarmerProtest #LettertoGovt #किसानआंदोलन #सरकारकोपत्र   https://t.co/FtWWbYvJU7,hi,"['farmerprotest', 'lettertogovt', 'किसानआंदोलन', 'सरकारकोपत्र']",[],817340591046414336,817340591046414336,thewirehindi,द वायर हिंदी,7,05,https://twitter.com/thewirehindi/status/1358196274265169920,['http://thewirehindi.com/157933/group-of-retd-civil-servants-slams-centre-approach-on-farmers-protest/'],[],0,,False,190,6,45,,#farmerprotest,,,,,,,[],,,,
1,1358177108787421191,1358177108787421191,1612649631000.0,2021-02-07 03:43:51,+0530,,About time   #IStandWithFarmers #FarmerProtest #FarmersProtests,en,"['istandwithfarmers', 'farmerprotest', 'farmersprotests']",[],102409502,102409502,BritAsiaTV,BritAsia TV,7,03,https://twitter.com/BritAsiaTV/status/1358177108787421191,[],[],0,,False,3,0,1,https://twitter.com/anmolR4TT4N/status/1358175255437561859,#farmerprotest,,,,,,,[],,,,
2,1358130870717095939,1358130870717095939,1612638607000.0,2021-02-07 00:40:07,+0530,,"किसान आंदोलन पर कपिल देव ने भी तोड़ी चुप्पी, कही यह खास बात  https://t.co/28G5X7x0Km  #KapilDev #BrokeSilence #farmermovement #FarmerProtest #Sportsnews #कपिलदेव #किसानआंदोलन  https://t.co/ulGSSLLAht",hi,"['kapildev', 'brokesilence', 'farmermovement', 'farmerprotest', 'sportsnews', 'कपिलदेव', 'किसानआंदोलन']",[],80304808,80304808,punjabkesari,Punjab Kesari,7,00,https://twitter.com/punjabkesari/status/1358130870717095939,['https://m.sports.punjabkesari.in/sports/news/kapil-dev-also-broke-silence-on-the-farmer-movement-1328137?utm_source=twitterbot&utm_medium=social'],['https://pbs.twimg.com/media/EtkM1JSUcAEAFr5.jpg'],1,https://pbs.twimg.com/media/EtkM1JSUcAEAFr5.jpg,False,10,0,1,,#farmerprotest,,,,,,,[],,,,
3,1358120775841062914,1358120775841062914,1612636200000.0,2021-02-07 00:00:00,+0530,,प्रदर्शनकारी किसानों के ख़िलाफ़ अधिकतम संयम बरतें अधिकारी: संयुक्त राष्ट्र मानवाधिकार   #FarmerProtest #FarmLaws #UnitedNations #India #किसानआंदोलन #कृषिकानूुन #संयुक्तराष्ट्र #भारत   https://t.co/lubP8VH9qi,hi,"['farmerprotest', 'farmlaws', 'unitednations', 'india', 'किसानआंदोलन', 'कृषिकानूुन', 'संयुक्तराष्ट्र', 'भारत']",[],817340591046414336,817340591046414336,thewirehindi,द वायर हिंदी,7,00,https://twitter.com/thewirehindi/status/1358120775841062914,['http://thewirehindi.com/157855/executioners-should-exercise-maximum-restraint-against-farmers-un-human-rights/'],[],0,,False,217,1,45,,#farmerprotest,,,,,,,[],,,,
4,1358118393057050625,1358118393057050625,1612635632000.0,2021-02-06 23:50:32,+0530,,விவசாய போராட்டத்திற்கு அனுமதி: அமெரிக்க பார்லி குழு வலியுறுத்தல் #farmerprotest #support #america   https://t.co/pybS8FIGMx,ta,"['farmerprotest', 'support', 'america']",[],14448642,14448642,dinamalarweb,Dinamalar,6,23,https://twitter.com/dinamalarweb/status/1358118393057050625,['https://www.dinamalar.com/news_detail.asp?id=2704085'],[],0,,False,13,0,1,,#farmerprotest,,,,,,,[],,,,
5,1358112481101582336,1358112481101582336,1612634222000.0,2021-02-06 23:27:02,+0530,,VIDEO : Sharad Pawar | देशाबाहेर सुद्धा शेतकऱ्यांबाबत सहानुभूती व्यक्त  : शरद पवार #SharadPawar #Farmer #FarmerProtest @PawarSpeaks  https://t.co/WEWZ71yL1i,mr,"['sharadpawar', 'farmer', 'farmerprotest']",[],3360174258,3360174258,TV9Marathi,TV9 Marathi,6,23,https://twitter.com/TV9Marathi/status/1358112481101582336,[],[],1,https://pbs.twimg.com/media/Etj8FpGUcAUbwHr.jpg,False,43,2,2,,#farmerprotest,,,,,,,[],,,,
6,1358111804140908544,1358111804140908544,1612634061000.0,2021-02-06 23:24:21,+0530,,VIDEO : Sharad Pawar | दिल्लीतील शेतकरी आंदोलन हे कष्टकरी शेतकऱ्यांचे आंदोलन : शरद पवार #SharadPawar #Delhi #FarmerProtest @PawarSpeaks  https://t.co/HxSXhuIOWE,mr,"['sharadpawar', 'delhi', 'farmerprotest']",[],3360174258,3360174258,TV9Marathi,TV9 Marathi,6,23,https://twitter.com/TV9Marathi/status/1358111804140908544,[],[],1,https://pbs.twimg.com/media/Etj7do6VoAE0vnV.jpg,False,39,8,1,,#farmerprotest,,,,,,,[],,,,
7,1358104853344620546,1358104853344620546,1612632404000.0,2021-02-06 22:56:44,+0530,,"પોપ સ્ટાર રિહાના બાદ હોલીવૂડનાં અભિનેત્રી સુઝેને લખ્યું, ""ભારતમાં ખેડૂતોના વિરોધ પ્રદર્શનની સાથે છું""  https://t.co/rBPmO1VZLL @SusanSarandon #farmerprotest",gu,['farmerprotest'],[],826107626807238657,826107626807238657,bbcnewsgujarati,BBC News Gujarati,6,22,https://twitter.com/bbcnewsgujarati/status/1358104853344620546,['https://bbc.in/2N3bo08'],[],0,,False,6,0,1,,#farmerprotest,,,,,,,[],,,,
8,1358101954182979585,1358101954182979585,1612631712000.0,2021-02-06 22:45:12,+0530,,"ખેડૂતોના આંદોલન સાથે કથિત રીતે સંકળાયેલી એક 'ટૂલકિટ' સ્વિડનના પ્રખ્યાત પર્યાવરણ ઍક્ટિવિસ્ટ ગ્રેટા થનબર્ગે શૅર કરી હતી, જે 'ટૂલકિટ'ની દિલ્હી પોલીસ તેની તપાસ કરી રહી છે  https://t.co/Guaq0Ah0pV #farmerprotest",gu,['farmerprotest'],[],826107626807238657,826107626807238657,bbcnewsgujarati,BBC News Gujarati,6,22,https://twitter.com/bbcnewsgujarati/status/1358101954182979585,['https://bbc.in/3rurUp6'],[],0,,False,2,0,0,,#farmerprotest,,,,,,,[],,,,
9,1358084285601841162,1358084285601841162,1612627500000.0,2021-02-06 21:35:00,+0530,,বাংলার কৃষক কি বার্তা দিলেন জানতে চান?  #Farmer #FarmBill #FarmerProtest #BengalRejectsBJP #Didi #MamataBanerjee #BanglarGorboMamata  https://t.co/N4VW781Vkt,bn,"['farmer', 'farmbill', 'farmerprotest', 'bengalrejectsbjp', 'didi', 'mamatabanerjee', 'banglargorbomamata']",[],1144646272084611072,1144646272084611072,BanglarGorboMB,Banglar Gorbo Mamata,6,21,https://twitter.com/BanglarGorboMB/status/1358084285601841162,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1358080541308854277/pu/img/0WpvmbF2cSZa_K3B.jpg,False,126,6,55,,#farmerprotest,,,,,,,[],,,,
