,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1308141449033121792,1308141449033121792,1600720200000.0,2020-09-22 02:00:00,+0530,,वीडियो में टीएमसी सांसद डेरेक ओ ब्रायन उपसभापति की मेज पर मुक्के मारते हुए देखे जा सकते हैं #FarmBill #FarmsBill2020 #RE   https://t.co/Ojkv4E4ulX,hi,"['farmbill', 'farmsbill2020', 're']",[],42606652,42606652,aajtak,AajTak,2,02,https://twitter.com/aajtak/status/1308141449033121792,['https://www.aajtak.in/india/news/story/farmer-bill-rajya-sabha-parliament-social-media-viral-video-harivansh-narayan-singh-1133347-2020-09-21'],[],0,,False,75,16,11,,#farmbill,,,,,,,[],,,,
1,1308099534350741506,1308099534350741506,1600710206000.0,2020-09-21 23:13:26,+0530,,&amp;#039;মার্শাল না থাকলে ডেপুটি চেয়ারম্যানকে শারীরিক নিগ্রহও করতে পারতেন বিরোধী সাংসদরা #Zee24Ghanta #FarmBill #RaviShankarPrasad &amp;#039;  https://t.co/VYW3rEov2V,bn,"['zee24ghanta', 'farmbill', 'ravishankarprasad']",[],468250625,468250625,Zee24Ghanta,zee24ghanta,1,23,https://twitter.com/Zee24Ghanta/status/1308099534350741506,['https://zeenews.india.com/bengali/nation/suspended-mps-have-no-moral-right-to-talk-about-democracy-ravi-shankar-prasad_340160.html'],[],0,,False,14,0,0,,#farmbill,,,,,,,[],,,,
2,1308095860119535621,1308095860119535621,1600709330000.0,2020-09-21 22:58:50,+0530,,"AAP RS MP @SanjayAzadSln keeps d night alive with his songs. All 8 suspended MPs on protest, will try n catch some sleep here tonight. An ambulance has been parked. @AnitaSingh_ carried some dinner. Protest could continue through the day tomorrow #foodforthought #farmbill  https://t.co/nqTSFPn5Ae",en,"['foodforthought', 'farmbill']",[],146751977,146751977,rupashreenanda,Rupashree Nanda,1,22,https://twitter.com/rupashreenanda/status/1308095860119535621,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1308095654485319681/pu/img/HW16-jbU7PIJYCnv.jpg,False,762,57,242,,#farmbill,,,,,,,[],,,,
3,1308095456900050944,1308095456900050944,1600709234000.0,2020-09-21 22:57:14,+0530,,"""Modi government intends to develop the income of the farmers but the opposition parties are just playing politics on this issue,""- Spokesperson, BJP, @IShivamChhabra speaks on the controversial #FarmBill, only on #TalkToBhupen Full Video:  https://t.co/yWPqRenqVB  https://t.co/TvrcUITXu7",en,"['farmbill', 'talktobhupen']",[],56685329,56685329,bhupendrachaube,bhupendra chaubey,1,22,https://twitter.com/bhupendrachaube/status/1308095456900050944,['https://www.youtube.com/watch?v=XrPqxWEMmyI'],[],1,https://pbs.twimg.com/amplify_video_thumb/1308091932992704512/img/D8EqFx7Vc5oOeczd.jpg,False,5,0,7,,#farmbill,,,,,,,[],,,,
4,1308087481003208704,1308087481003208704,1600707333000.0,2020-09-21 22:25:33,+0530,,"লড়াই সংসদের বাইরেও, কৃষি বিলের বিরুদ্ধে মঙ্গলবার থেকে রাস্তায় নামছে তৃণমূল #Zee24Ghanta #FarmBill #TMCOnFarmBill  https://t.co/1KqtE41Ppw",bn,"['zee24ghanta', 'farmbill', 'tmconfarmbill']",[],468250625,468250625,Zee24Ghanta,zee24ghanta,1,22,https://twitter.com/Zee24Ghanta/status/1308087481003208704,['https://zeenews.india.com/bengali/state/farm-bill-tmc-to-stage-protest-against-the-bill_340157.html'],[],0,,False,12,0,0,,#farmbill,,,,,,,[],,,,
5,1308085909070295044,1308085909070295044,1600706958000.0,2020-09-21 22:19:18,+0530,,कांग्रेस के सांसदों का कृषि बिल के विरोध में प्रदर्शन जारी है (@ashokasinghal2) #FarmBill #FarmBill2020   https://t.co/yEi29UenQy,hi,"['farmbill', 'farmbill2020']",[],42606652,42606652,aajtak,AajTak,1,22,https://twitter.com/aajtak/status/1308085909070295044,['https://www.aajtak.in/india/politics/story/monsoon-session-parliament-lok-sabha-minister-narendra-singh-tomar-farms-bill-ruckus-congress-mp-1133365-2020-09-21'],[],0,,False,90,23,5,,#farmbill,,,,,,,[],,,,
6,1308074753794535430,1308074753794535430,1600704298000.0,2020-09-21 21:34:58,+0530,,"সাসপেনশন না তুলতে উঠব না, সংসদ ভবনের বাইরে রাতভর ধর্নায় ডেরেক-সহ ৮ বিরোধী সাংসদ #Zee24Ghanta #FarmBill #TMC  https://t.co/d2Po8WtCKX",bn,"['zee24ghanta', 'farmbill', 'tmc']",[],468250625,468250625,Zee24Ghanta,zee24ghanta,1,21,https://twitter.com/Zee24Ghanta/status/1308074753794535430,['https://zeenews.india.com/bengali/photos/suspended-eight-oposition-mps-to-spend-night-outside-parliament-in-protest-in-protest-of-suspension-340137'],[],0,,False,9,0,1,,#farmbill,,,,,,,[],,,,
7,1308071400805036032,1308071400805036032,1600703499000.0,2020-09-21 21:21:39,+0530,,"#FarmBill #FarmBills2020 | निलंबति सांसदों का कहना है कि वो पूरी रात धरना देंगे और तब तक धरना देंगे जब तक निलंबन वापस नहीं लिया जाता (@Ashokasinghal2, @PoulomiMsaha)   https://t.co/LFO1N2IiZM",hi,"['farmbill', 'farmbills2020']",[],42606652,42606652,aajtak,AajTak,1,21,https://twitter.com/aajtak/status/1308071400805036032,['https://www.aajtak.in/india/news/story/mps-sitting-on-protest-all-night-rajya-sabha-parliament-1133377-2020-09-21'],[],0,,False,276,212,31,,#farmbill,,,,,,,[],,,,
8,1308070727434731520,1308070727434731520,1600703338000.0,2020-09-21 21:18:58,+0530,,वीडियो में टीएमसी सांसद डेरेक ओ ब्रायन उपसभापति की मेज पर मुक्के मारते हुए देखे जा सकते हैं #FarmBill #FarmsBill2020   https://t.co/Ojkv4E4ulX,hi,"['farmbill', 'farmsbill2020']",[],42606652,42606652,aajtak,AajTak,1,21,https://twitter.com/aajtak/status/1308070727434731520,['https://www.aajtak.in/india/news/story/farmer-bill-rajya-sabha-parliament-social-media-viral-video-harivansh-narayan-singh-1133347-2020-09-21'],[],0,,False,209,37,37,,#farmbill,,,,,,,[],,,,
9,1308061030321274882,1308061030321274882,1600701026000.0,2020-09-21 20:40:26,+0530,,कृषि बिल के विरोध में कांग्रेस बड़े अभियान की तैयारी कर रही है. #FarmBill #Farmbills  (@mausamii2u)   https://t.co/5LXK1RWQUM,hi,"['farmbill', 'farmbills']",[],42606652,42606652,aajtak,AajTak,1,20,https://twitter.com/aajtak/status/1308061030321274882,['https://www.aajtak.in/india/news/story/congress-leader-randeep-surjewala-said-modi-government-democracy-is-strangled-1133322-2020-09-21'],[],0,,False,111,40,13,,#farmbill,,,,,,,[],,,,
